unit,compare,index
℃,belowequal,-273.15
℉,belowequal,-459.67
K,belowequal,0
m,belowequal,0
km,belowequal,0
cm,belowequal,0
mm,belowequal,0
kg,belowequal,0
g,belowequal,0
t,belowequal,0
Ω,belowequal,0
kΩ,belowequal,0
MΩ,belowequal,0
GΩ,belowequal,0
J,belowequal,0
kJ,belowequal,0
cal,belowequal,0
kcal,belowequal,0
Pa,belowequal,0
atm,belowequal,0
dB,belowequal,0
rad,belowequal,0
s,belowequal,0
h,belowequal,0
V,belowequal,0
A,belowequal,0
Megaohm,belowequal,0
Celsius,belowequal,-273.15
Kelvin,belowequal,0
Fahrenheit,belowequal,-459.67
meter,belowequal,0
kilometer,belowequal,0
centimeter,belowequal,0
millimeter,belowequal,0
kilogram,belowequal,0
gram,belowequal,0
ton,belowequal,0
ohm,belowequal,0
kiloohm,belowequal,0
gigaohm,belowequal,0
joule,belowequal,0
kilojoule,belowequal,0
calorie,belowequal,0
kilocalorie,belowequal,0
pascal,belowequal,0
atmosphere,belowequal,0
decibel,belowequal,0
radian,belowequal,0
second,belowequal,0
hour,belowequal,0
volt,belowequal,0
ampere,belowequal,0
单位,比较,界限值
兆欧,belowequal,0
摄氏度,belowequal,-273.15
开尔文,belowequal,0
华氏度,belowequal,-459.67
米,belowequal,0
千米,belowequal,0
厘米,belowequal,0
毫米,belowequal,0
千克,belowequal,0
克,belowequal,0
吨,belowequal,0
欧姆,belowequal,0
千欧,belowequal,0
吉欧,belowequal,0
焦耳,belowequal,0
千焦,belowequal,0
卡路里,belowequal,0
千卡,belowequal,0
帕斯卡,belowequal,0
标准大气压,belowequal,0
分贝,belowequal,0
弧度,belowequal,0
秒,belowequal,0
小时,belowequal,0
伏特,belowequal,0
安培,belowequal,0
